pk;name_ru;name_en
250;Республика Косово;the Republic of Kosovo
249;Зимбабве;Zimbabwe
248;Замбия;Zambia
247;Южная Африка;South Africa
246;Майотта;Mayotte
245;Йемен;Yemen
244;Самоа;Samoa
243;Уоллис и Футуна;Wallis and Futuna
242;Вануату;Vanuatu
241;Вьетнам;Vietnam
240;Виргинские Острова (США);"Virgin Islands, U.S."
239;"Виргинские о-ва, Британские";"Virgin Islands, British"
238;Венесуэла;Venezuela
237;Сент-Винсент и Гренадины;Saint Vincent and the Grenadines
236;Ватикан (Святой Престол);Holy See
235;Узбекистан;Uzbekistan
234;Уругвай;Uruguay
233;США;United States of America
232;Внешние малые острова (США);United States Minor Outlying Islands
231;Уганда;Uganda
230;Украина;Ukraine
229;Танзания;Tanzania
228;Тайвань;Taiwan
227;Тувалу;Tuvalu
226;Тринидад и Тобаго;Trinidad and Tobago
225;Турция;Turkey
224;Тонга;Tonga
223;Тунис;Tunisia
222;Туркменистан;Turkmenistan
221;Восточный Тимор;Timor-Leste
220;Токелау;Tokelau
219;Таджикистан;Tajikistan
218;Таиланд;Thailand
217;Того;Togo
216;Французские Южные Территории;French Southern Territories
215;Чад;Chad
214;Теркс и Кайкос острова;Turks and Caicos Islands
213;Свазиленд;Swaziland
212;Сирия;Syrian Arab Republic
211;Сальвадор;El Salvador
210;Сан-Томе и Принсипи;Sao Tome and Principe
209;ЮЖНЫЙ СУДАН;Ð®Ð–ÐÐ«Ð™ Ð¡Ð£Ð”ÐÐ
208;Суринам;Suriname
207;Сомали;Somalia
206;Сенегал;Senegal
205;Сан-Марино;San Marino
204;Сьерра-Леоне;Sierra Leone
203;Словакия;Slovakia
202;Шпицберген и Ян-Майен;Svalbard and Jan Mayen
201;Словения;Slovenia
200;Остров Святой Елены;Saint Helena
199;Сингапур;Singapore
198;Швеция;Sweden
197;Судан;Sudan
196;Сейшельские острова;Seychelles
195;Соломоновы острова;Solomon Islands
194;Саудовская Аравия;Saudi Arabia
193;Руанда;Rwanda
192;Российская Федерация;Russian Federation
191;Сербия;Serbia
190;Румыния;Romania
189;Реюньон;Reunion
188;Катар;Qatar
187;Парагвай;Paraguay
186;Палау;Palau
185;Португалия;Portugal
184;Государство Палестина;State of Palestine
183;Пуэрто-Рико;Puerto Rico
182;Питкэрн;Pitcairn
181;Сен-Пьер и Микелон;Saint Pierre and Miquelon
180;Польша;Poland
179;Пакистан;Pakistan
178;Филиппины;Philippines
177;Папуа-Новая Гвинея;Papua New Guinea
176;Французская Полинезия;French Polynesia
175;Перу;Peru
174;Панама;Panama
173;Оман;Oman
172;Новая Зеландия;New Zealand
171;Ниуэ;Niue
170;Науру;Nauru
169;Непал;Nepal
168;Норвегия;Norway
167;Нидерланды;Netherlands
166;Никарагуа;Nicaragua
165;Нигерия;Nigeria
164;Остров Норфолк;Norfolk Island
163;Нигер;Niger
162;Новая Каледония;New Caledonia
161;Намибия;Namibia
160;Мозамбик;Mozambique
159;Малайзия;Malaysia
158;Мексика;Mexico
157;Малави;Malawi
156;Мальдивы;Maldives
155;Маврикий;Mauritius
154;Мальта;Malta
153;Монтсеррат;Montserrat
152;Мавритания;Mauritania
151;Мартиника;Martinique
150;Северные Марианские о-ва;Northern Mariana Islands
149;Макао;Macao
148;Монголия;Mongolia
147;Мьянма;Myanmar
146;Мали;Mali
145;Македония;Macedonia
144;Маршалловы о-ва;Marshall Islands
143;Мадагаскар;Madagascar
142;Сен-Мартен;Saint Martin (French part)
141;Черногория;Montenegro
140;Молдова;Republic of Moldova
139;Монако;Monaco
138;Марокко;Morocco
137;Ливия;Libya
136;Латвия;Latvia
135;Люксембург;Luxembourg
134;Литва;Lithuania
133;Лесото;Lesotho
132;Либерия;Liberia
131;Шри-Ланка;Sri Lanka
130;Лихтенштейн;Liechtenstein
129;Сент-Люсия;Saint Lucia
128;Ливан;Lebanon
127;Лаос;Lao People's Democratic Republic
126;Республика Казахстан;Kazakhstan
125;Острова Кайман;Cayman Islands
124;Кувейт;Kuwait
123;Южная Корея;South Korea
122;Корея (КНДР);Democratic People's Republic of Korea
121;Сент-Китс и Невис;Saint Kitts and Nevis
120;Коморские о-ва;Comoros
119;Кирибати;Kiribati
118;Камбоджа;Cambodia
117;Кыргызстан;Kyrgyzstan
116;Кения;Kenya
115;Япония;Japan
114;Иордания;Jordan
113;Ямайка;Jamaica
112;Джерси;Jersey
111;Италия;Italy
110;Исландия;Iceland
109;Иран;Islamic Republic of Iran
108;Ирак;Iraq
107;Британская территория;British Indian Ocean Territory
106;Индия;India
105;Остров Мэн;Isle of Man
104;Израиль;Israel
103;Ирландия;Ireland
102;Индонезия;Indonesia
101;Венгрия;Hungary
100;Гаити;Haiti
99;Хорватия;Croatia
98;Гондурас;Honduras
97;Херд и Макдональд;Heard Island and McDonald Islands
96;Гонконг;Hong Kong
95;Гайана;Guyana
94;Гвинея-Бисау;Guinea-Bissau
93;Гуам;Guam
92;Гватемала;Guatemala
91;Южная Джорджия и Южные Сандвичевы острова;South Georgia and the South Sandwich Islands
90;Греция;Greece
89;Экваториальная Гвинея;Equatorial Guinea
88;Гваделупа;Guadeloupe
87;Гвинея;Guinea
86;Гамбия;Gambia
85;Гренландия;Greenland
84;Гибралтар;Gibraltar
83;Гана;Ghana
82;Гернси;Guernsey
81;Гвиана;French Guiana
80;Грузия;Georgia
79;Гренада;Grenada
78;Великобритания;United Kingdom
77;Габон;Gabon
76;Франция;France
75;Фареры;Faroe Islands
74;Микронезия (ФШ);Micronesia (FS)
73;Фолклендские о-ва;Falkland Islands (Malvinas)
72;Фиджи;Fiji
71;Финляндия;Finland
70;Эфиопия;Ethiopia
69;Испания;Spain
68;Эритрея;Eritrea
67;САДР;Western Sahara
66;Египет;Egypt
65;Эстония;Estonia
64;Эквадор;Ecuador
63;Алжир;Algeria
62;Доминиканская Республика;Dominican Republic
61;Доминика;Dominica
60;Дания;Denmark
59;Джибути;Djibouti
58;Германия;Germany
57;Чехия;Czech Republic
56;Кипр;Cyprus
55;Остров Рождества;Christmas Island
54;КЮРАСАО;ÐšÐ®Ð ÐÐ¡ÐÐž
53;Кабо-Верде;Cabo Verde
52;Куба;Cuba
